number,name,type,credits
INFO 101,SOCIAL NETWORKING,I&S/NW,5
INFO 102,GENDER & INFORMATION TECHNOLOGY,I&S/DIV,5
INFO 200,INTELL FOUNDATIONS,I&S,5
INFO 201,TECH FOUNDATIONS,QSR,5
INFO 240,DATABASE MGMT FOUNDATIONS I,,5
INFO 245,DATABASE MGMT FOUNDATIONS II,,5
INFO 310,INFO ASSR & CYBRSEC,,5
INFO 312,ENTERPRISE RISK MGMT,,4
INFO 320,TECHNICAL & SOCIAL PERSPECTIVE ON SEARCH,,5
INFO 330,UX & INFO ARCH,,5
INFO 343,CLIENT-SIDE WEB DEV,NW,5
INFO 340,INTRO TO RELATIONAL DATABASE MGMT SYSTEMS,NW,5
INFO 341,COMPUTER NETWORKS & DISTRIBUTED APPLICATION,NW,5
INFO 344,SERVER-SIDE WEB DEV,,5
INFO 360,DESIGN THINKING,I&S,5
INFO 362,VISUAL INFO DESIGN,VLPA,5
INFO 370,INTRO DATA SCIENCE,QSR,5
INFO 371,CORE METHODS IN DATA SCIENCE,QSR,5
INFO 380,IS ANALYSIS & DSGN,,5
INFO 386,PROFESSIONALISM,,4
INFO 415,TOPICS IN CYBERSEC,,5
INFO 433,CONTENT STRATEGY,I&S,5
INFO 444,VALUE-SENSITIVE DESIGN,,5
INFO 445,ADV DBMS DESIGN,,5
INFO 448,ANDROID MOBILE DEV,,5
INFO 449,IOS MOBILE DEV,,5
INFO 450,INFO ETHICS & POLCY,I&S,5
INFO 461,COOPERATIVE SOFTWARE DESIGN,,5
INFO 463,INPUT & INTERACTION,,5
INFO 466,IMMERSIVE ENVIRMNTS,VLPA/I&S,5
INFO 467,IMMERSIVE ENVIRMNTS DESIGN,VLPA,5
INFO 474,INTERACTIVE INFO VIS,VLPA/QSR,5
INFO 490,CAPSTONE PROJECT I,,5
INFO 491,CAPSTONE PROJECT II,,5
INFO 495,INTERNSHIP,,5
INFO 496,SERVICE LRN IN INFO,,5
INFO 497,STUDY ABROAD,,1~8
INFO 498,TOPIC INFORMATICS,,5
INFO 499,IND STUDY,,5